station/location;date;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;sre000m0;tre200m0;tre200mn;tre200mx;ure200m0
GVE;19671101;-;0;76;968.8;173.1;3870;5.1;-4.1;13.2;88.7
GVE;19671201;-;0;73;969.2;63.1;3714;-0.2;-13.3;11.2;82.2
GVE;19680101;-;2;76;970.2;98.7;3144;-0.6;-19.9;9.1;87.5
GVE;19680201;-;0;78;963.2;125.2;4254;2.7;-6.6;10.1;85.2
GVE;19680301;-;0;55;968.7;39.7;9648;5.5;-6.3;19.4;70.9
GVE;19680401;-;0;54;966.2;56.2;12774;9.8;-3;26.8;72.1
GVE;19680501;-;0;65;966.2;73;11502;12;-0.6;23.2;74.6
GVE;19680601;-;0;54;968.5;64.4;15618;16.3;4;31.8;69.3
GVE;19680701;-;0;44;970.2;73.3;17310;18.2;7.1;31.9;70.3
GVE;19680801;-;0;60;966.8;247.1;10644;16;5.7;25.6;79.7
GVE;19680901;-;0;56;967.9;196.9;10044;13.5;4.5;22.5;81.4
GVE;19681001;-;0;63;971.8;51;8178;11.8;2;24.7;87.8
GVE;19681101;-;0;90;964.8;88.7;1464;4.8;-3.9;14.4;90.7
GVE;19681201;-;1;88;963.1;120.7;2268;1.5;-14;9.8;86.3
GVE;19690101;-;1;80;967;71.6;3522;1.3;-10.9;8.8;87.8
GVE;19690201;-;0;63;960.4;60.5;6426;-0.2;-12;10.1;77.1
GVE;19690301;-;0;70;961.8;67.7;5688;5.1;-4.5;15.3;77.6
GVE;19690401;-;0;63;966.8;91.2;8910;8.6;-2.7;23;69.2
GVE;19690501;-;0;61;965.6;101.3;13650;13.6;0.7;27.5;71.2
GVE;19690601;-;0;66;966.3;150.4;10548;14.2;3.9;26.1;77.1
GVE;19690701;-;0;41;972.4;45.4;17196;19.3;6.3;31.3;71.3
GVE;19690801;-;0;54;967.9;67.6;13794;17.7;5;29.6;72.2
GVE;19690901;-;0;51;968.5;75;11580;15.3;5.5;24.3;82.1
GVE;19691001;-;0;49;973.5;2;9348;10.3;0;20.1;84.3
GVE;19691101;-;0;64;964.6;114.8;6060;5.6;-5.6;17;75.8
GVE;19691201;-;0;83;964.3;45;1968;-1.6;-7.9;6.4;78.9
GVE;19700101;-;0;81;961.8;87.5;2244;0.3;-11.2;8.1;88.6
GVE;19700201;-;0;80;964.4;189.9;3366;2.7;-13.6;12.3;77.3
GVE;19700301;-;1;68;963.8;100.2;7452;2.6;-11.8;13.2;72.3
GVE;19700401;-;0;73;967.3;144.6;8502;6.6;-5.2;24.5;72.3
GVE;19700501;-;0;56;967.3;32.9;12882;12.1;1;25.6;71.8
GVE;19700601;-;0;55;968.6;73.1;14214;17.6;6.6;29.4;73.7
GVE;19700701;-;0;49;969;20.3;16212;18.6;5.7;32.3;67
GVE;19700801;-;0;51;967.7;91.7;14034;18.5;5.8;32.5;74.1
GVE;19700901;-;0;34;971.1;31.2;13938;15.3;3.4;29.6;74.9
GVE;19701001;-;0;60;972.2;84.9;7218;8.9;-2.2;22;84.2
GVE;19701101;-;0;70;968.8;165.2;5052;6.3;-1.5;21.3;83.6
GVE;19701201;-;0;78;971.5;27.8;2472;1.1;-9.8;13.2;80.1
GVE;19710101;-;4;83;965.2;70.7;2118;-1.3;-16.8;10.5;87.2
GVE;19710201;-;0;59;970.3;30.1;6846;1.7;-6.4;10.2;76.2
GVE;19710301;-;0;56;963.8;123.9;9108;1.4;-10.6;14;72.1
GVE;19710401;-;0;49;962.2;38;13926;11.1;-1.6;23.7;65
GVE;19710501;-;0;66;963.2;51.2;10866;14;1.7;25.6;75.6
GVE;19710601;-;0;64;966;115.1;12528;15.2;6.3;26.1;73
GVE;19710701;-;0;31;969.3;9.2;20466;20.3;5.4;34.3;63.5
GVE;19710801;-;0;43;967.7;86.4;16392;20;9;33.1;68.1
GVE;19710901;-;0;36;972.5;29.6;14076;14.2;0.8;24.9;73
GVE;19711001;-;0;51;976.5;32.8;9624;10.3;-0.7;21.9;80.9
GVE;19711101;-;0;73;966.1;114.4;4290;3.6;-8.5;16.5;81.8
GVE;19711201;-;0;91;977;9;900;1.2;-6.1;11.4;89.8
GVE;19720101;-;0;83;964.5;27.6;2502;1.1;-9.4;6.3;85.3
GVE;19720201;-;0;76;962.4;81.9;4080;3.3;-5.8;12.1;83.4
GVE;19720301;-;0;53;965.3;47.6;8904;6.2;-3.2;17.9;73.8
GVE;19720401;-;0;69;962.7;71.9;8460;8.5;-1.8;22.8;70
